,community,id,members,attendAsembly,memOrg,income,monthInstall,primaryEd,secondaryEd,owner,yearsInHome,control,treatNoBonus,treatBonus,waterScarce,waterOK,houseType,age,numShowers,numSinks,numKitchen,showerTime,showerFreq,sinkTime,sinkFreq,kitchenTime,maxInstall,numInstalled,cleanShower,cleanKitchen,cleanSink,leaks,savings,sameFamily,totalDisadopt,partialDisadopt,noDisadopt,meanUsage,perCapitaUsage,kitchenExpectation,sinkExpectation,showerExpectation,cleanSum
1,25.0,25002.0,1.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,35.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0,18.818181818181817,18.818181818181817,3.0,,3.0,0.0
3,25.0,25004.0,4.0,0.0,0.0,4.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,42.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1,16.96969696969697,4.242424242424242,2.7,,4.7,1.0
6,25.0,25007.0,4.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0,44.0,1.0,0.0,1.0,1.0,3.0,,,3.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1,15.947368421052632,3.986842105263158,7.0,,8.2,1.0
17,25.0,25018.0,3.0,1.0,1.0,3.0,6.0,1.0,0.0,1.0,23.0,0.0,0.0,1.0,0.0,1.0,1.0,66.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0,28.43859649122807,9.47953216374269,5.3,2.7,4.7,3.0
18,25.0,25019.0,5.0,1.0,0.0,4.0,6.0,1.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,1.0,1.0,37.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,21.017543859649123,4.203508771929824,2.0,2.0,2.0,3.0
19,25.0,25020.0,3.0,0.0,0.0,5.0,6.0,1.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,1.0,1.0,39.0,1.0,0.0,1.0,1.0,3.0,,,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,50.36842105263158,16.789473684210527,2.0,,2.0,2.0
20,25.0,25021.0,2.0,0.0,0.0,,6.0,1.0,0.0,1.0,45.0,0.0,1.0,0.0,0.0,1.0,1.0,68.0,1.0,0.0,1.0,1.0,3.0,,,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,15.719298245614034,7.859649122807017,3.0,,2.0,1.0
23,25.0,25024.0,4.0,0.0,0.0,2.0,6.0,1.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,30.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,18.157894736842106,4.5394736842105265,2.2,2.2,2.2,0.0
24,25.0,25025.0,2.0,1.0,0.0,2.0,6.0,1.0,0.0,1.0,40.0,0.0,1.0,0.0,0.0,1.0,1.0,61.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,21.17543859649123,10.587719298245615,3.0,,5.0,2.0
31,25.0,25032.0,5.0,1.0,0.0,3.0,6.0,1.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0,56.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,1,20.50877192982456,4.101754385964912,5.0,,5.0,2.0
46,25.0,25047.0,6.0,1.0,0.0,3.0,6.0,1.0,0.0,1.0,23.0,0.0,1.0,0.0,0.0,1.0,1.0,51.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,73.10526315789474,12.18421052631579,,3.6000000000000005,3.6000000000000005,2.0
47,25.0,25048.0,3.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,0.0,1.0,1.0,,,1.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,1,19.263157894736842,6.421052631578948,5.5,4.5,,2.0
49,25.0,25050.0,4.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,20.0,0.0,1.0,0.0,0.0,1.0,1.0,36.0,1.0,0.0,2.0,1.0,3.0,,,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,49.91228070175438,12.478070175438596,4.4,,4.4,2.0
52,25.0,25053.0,2.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0,62.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1,30.403508771929825,15.201754385964913,4.6,4.6,4.4,3.0
57,25.0,25058.0,5.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,36.0,1.0,1.0,0.0,2.0,3.0,2.0,3.0,,2.0,2.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1,34.85964912280702,6.971929824561404,,7.7,7.7,2.0
59,25.0,25060.0,4.0,0.0,0.0,3.0,6.0,1.0,1.0,1.0,30.0,0.0,0.0,1.0,0.0,1.0,1.0,49.0,0.0,0.0,1.0,,,,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,32.40350877192982,8.100877192982455,2.0,,,0.0
60,25.0,25061.0,2.0,0.0,0.0,4.0,6.0,1.0,1.0,1.0,0.3333333432674408,0.0,1.0,0.0,0.0,1.0,1.0,33.0,1.0,0.0,0.0,1.0,3.0,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,14.37037037037037,7.185185185185185,,,2.0,0.0
63,25.0,25064.0,1.0,0.0,1.0,4.0,6.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,36.0,1.0,1.0,1.0,,,,,,3.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0,10.56140350877193,10.56140350877193,,,,0.0
66,25.0,25067.0,5.0,1.0,0.0,5.0,6.0,1.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0,43.0,1.0,0.0,1.0,1.0,3.0,,,3.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,0,38.43859649122807,7.6877192982456135,2.0,,2.0,0.0
71,25.0,25072.0,5.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,50.0,0.0,1.0,0.0,0.0,1.0,1.0,52.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,51.421052631578945,10.284210526315789,6.3,6.699999999999999,4.300000000000001,2.0
73,25.0,25074.0,7.0,1.0,0.0,5.0,6.0,1.0,1.0,1.0,30.0,0.0,0.0,1.0,0.0,1.0,1.0,58.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,31.82456140350877,4.546365914786967,3.0,3.0,2.0,2.0
76,31.0,31003.0,3.0,1.0,1.0,4.0,6.0,1.0,0.0,1.0,25.0,0.0,0.0,1.0,0.0,1.0,1.0,56.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1,30.736842105263158,10.24561403508772,5.0,8.0,5.8,3.0
79,31.0,31006.0,2.0,0.0,0.0,3.0,6.0,1.0,1.0,0.0,0.5833333134651184,0.0,0.0,1.0,0.0,1.0,3.0,35.0,2.0,0.0,1.0,,,,,,3.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0,23.54385964912281,11.771929824561404,,,,0.0
85,31.0,31012.0,3.0,0.0,0.0,4.0,6.0,1.0,0.0,1.0,42.0,0.0,0.0,1.0,0.0,1.0,1.0,67.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,1,20.614035087719298,6.871345029239766,4.4,4.4,4.4,3.0
